query,intent,sentiment,detected_intent,detected_sentiment,summary
im very satisfied with the results of technical feedback,technical_feedback,positive,technical_feedback,positive,The user is happy with the outcome of technical feedback.
financial complaint did not work as advertised,financial_complaint,negative,financial_complaint,negative,Unhappy customer experience due to financial product or service not meeting expectations.
health complaint constantly lets me down,health_complaint,negative,health_complaint,negative,The user has experienced recurring health issues that have been frustrating.
kudos to the team behind process complaint,process_complaint,positive,express_appreciation,positive,Expressing appreciation for the team behind a process complaint
booking complaint was a complete disaster and waste of time,booking_complaint,negative,booking_complaint,negative,Disappointing booking experience
account inquiry is simply amazing and very reliable,account_inquiry,positive,financial_inquiry,positive,Customer is expressing enthusiasm and reliability for an account inquiry
can you provide details about technical support,technical_support,neutral,technical_support,neutral,Request for technical support information
my experience with service feedback was terrible,service_feedback,negative,service_feedback,negative,Bad experience with service feedback
service feedback has been a fantastic experience overall,service_feedback,positive,service_feedback,positive,Overall satisfaction with service feedback experience
really appreciate how efficient rewards feedback has been,rewards_feedback,positive,express_appreciation,positive,Expressing gratitude for efficient rewards feedback
id like to understand more about warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Inquiring about warranty information
billing complaint did not work as advertised,billing_complaint,negative,billing_complaint,negative,The billing process did not work as expected
the quality of technical support is outstanding,technical_support,positive,technical_support,positive,Technical support experience is excellent
could you explain how service feedback works,service_feedback,neutral,service_feedback,neutral,Request for explanation on service feedback process
i would not recommend job inquiry to anyone,job_inquiry,negative,express_opinion,negative,I'm not recommending job inquiry to anyone
entertainment review caused a lot of problems for me,entertainment_review,negative,entertainment_review,negative,The user had a negative experience with an entertainment review
where can i learn about policy feedback,policy_feedback,neutral,policy_inquiry,neutral,Request for information about policy feedback
is there a manual or guide for business inquiry,business_inquiry,neutral,business_inquiry,neutral,Requesting information or guidance for business-related inquiry
really appreciate how efficient technical complaint has been,technical_complaint,positive,technical_feedback,positive,express gratitude for efficient technical support
billing complaint exceeded all of my expectations,billing_complaint,positive,billing_complaint,positive,Customer expresses satisfaction with their billing experience
the quality of service complaint is outstanding,service_complaint,positive,service_complaint,positive,Customer complimented on excellent service quality
id like to understand more about event review,event_review,neutral,event_review,neutral,Request for information about an event review
i need more information regarding event review,event_review,neutral,event_review,neutral,Request for more information about an event
how do i proceed with order inquiry,order_inquiry,neutral,order_inquiry,neutral,Customer wants to inquire about their order
whats the process for policy feedback,policy_feedback,neutral,policy_feedback,neutral,Requesting information about providing feedback on a policy
my experience with accommodation complaint was terrible,accommodation_complaint,negative,accommodation_complaint,negative,Customer had a bad experience with accommodation
using job inquiry was a frustrating experience,job_inquiry,negative,job_inquiry,negative,Job inquiry was frustrating
what does financial inquiry involve,financial_inquiry,neutral,financial_inquiry,neutral,Inquiring about financial information
travel complaint has made my life much easier and better,travel_complaint,positive,travel_complaint,positive,Travel issue has improved life
complaint has been a fantastic experience overall,complaint,positive,service_complaint,positive,Overall positive experience
accommodation complaint constantly lets me down,accommodation_complaint,negative,accommodation_complaint,negative,Unhappy with hotel experience
kudos to the team behind location inquiry,location_inquiry,positive,express_appreciation,positive,Expressing gratitude and appreciation to the team behind location inquiry
the quality of food review is outstanding,food_review,positive,entertainment_review,positive,Review of food quality is excellent
service inquiry did not work as advertised,service_inquiry,negative,service_complaint,negative,The service did not meet expectations
using procedural inquiry was a frustrating experience,procedural_inquiry,negative,procedural_inquiry,negative,Frustrating experience with procedural inquiry process
product inquiry has made my life much easier and better,product_inquiry,positive,product_feedback,positive,Product has had a positive impact on user's life
the quality of billing complaint is outstanding,billing_complaint,positive,billing_complaint,positive,The billing process is excellent
using health inquiry was a frustrating experience,health_inquiry,negative,health_inquiry,negative,The user had a frustrating experience using health inquiry.
rewards feedback was a complete disaster and waste of time,rewards_feedback,negative,express_opinion,negative,Unsatisfactory rewards feedback experience
is there a manual or guide for transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,Request for information or guidance on transportation-related complaint process
where can i learn about order inquiry,order_inquiry,neutral,order_inquiry,neutral,Customer is asking about order inquiry
my experience with shipping inquiry was terrible,shipping_inquiry,negative,shipping_inquiry,negative,The user had a poor experience with shipping inquiry.
health inquiry caused a lot of problems for me,health_inquiry,negative,health_inquiry,negative,Health inquiry caused problems for me
healthcare feedback caused a lot of problems for me,healthcare_feedback,negative,healthcare_feedback,negative,Disatisfied customer experience
who can i contact about product inquiry,product_inquiry,neutral,product_inquiry,neutral,Customer is seeking product information
kudos to the team behind entertainment review,entertainment_review,positive,express_praise,positive,Praising an entertainment review
whats the process for job inquiry,job_inquiry,neutral,job_inquiry,neutral,Job inquiry process
kudos to the team behind healthcare feedback,healthcare_feedback,positive,express_appreciation,positive,Expression of appreciation for healthcare feedback
complaint exceeded all of my expectations,complaint,positive,complaint,negative,Disappointment due to exceeded expectations
could you explain how environment complaint works,environment_complaint,neutral,environment_complaint,neutral,User wants to understand how to make an environment complaint
schedule inquiry is simply amazing and very reliable,schedule_inquiry,positive,schedule_inquiry,positive,Positive feedback about scheduling reliability
could you explain how healthcare feedback works,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for explanation on healthcare feedback process
customer experience constantly lets me down,customer_experience,negative,customer_experience,negative,Customer is unhappy with their experience
im very satisfied with the results of payment inquiry,payment_inquiry,positive,payment_inquiry,positive,Payment inquiry with positive outcome
where can i learn about travel complaint,travel_complaint,neutral,travel_complaint,neutral,User is seeking information about travel complaints
financial complaint has so many issues i regret using it,financial_complaint,negative,financial_complaint,negative,Disappointment with financial service
facility feedback caused a lot of problems for me,facility_feedback,negative,facility_feedback,negative,Negative feedback about a facility issue
who can i contact about financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,The user wants to inquire about financial information.
can you provide details about healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for information about healthcare feedback
what does payment inquiry involve,payment_inquiry,neutral,payment_inquiry,neutral,Request for information about payment process
business inquiry did not work as advertised,business_inquiry,negative,business_inquiry,negative,Failed business inquiry
id like to understand more about payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Customer wants more information about payment
im extremely disappointed with product complaint,product_complaint,negative,product_complaint,negative,Customer unhappy with product purchase
i couldnt be happier with financial complaint,financial_complaint,positive,financial_complaint,positive,Customer is satisfied with financial complaint process
i absolutely love how process complaint works for me,process_complaint,positive,express_satisfaction,positive,Expressing satisfaction with a process complaint
i need more information regarding service complaint,service_complaint,neutral,service_complaint,neutral,Request for information on service issue
warranty inquiry did not work as advertised,warranty_inquiry,negative,warranty_inquiry,negative,Product did not meet expectations
service complaint exceeded all of my expectations,service_complaint,positive,service_complaint,positive,Complaining about excellent service
can you provide details about travel complaint,travel_complaint,neutral,travel_complaint,neutral,Request for information about travel complaints
is there a manual or guide for policy feedback,policy_feedback,neutral,policy_feedback,neutral,Requesting information about policy feedback
im very satisfied with the results of schedule inquiry,schedule_inquiry,positive,schedule_inquiry,positive,The user is satisfied with the results of their schedule inquiry.
i couldnt be happier with business inquiry,business_inquiry,positive,business_inquiry,positive,The user is very pleased with their business inquiry
i absolutely love how travel review works for me,travel_review,positive,express_appreciation,positive,Expressing gratitude and appreciation for travel review
how do i proceed with event review,event_review,neutral,event_review,neutral,Asking about reviewing an event
technical feedback caused a lot of problems for me,technical_feedback,negative,technical_feedback,negative,The user had technical issues and wants to provide feedback.
i need more information regarding procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for information
health inquiry has made my life much easier and better,health_inquiry,positive,health_inquiry,positive,Expresses gratitude for health inquiry improving life
id like to understand more about rewards feedback,rewards_feedback,neutral,rewards_feedback,positive,Customer wants to learn more about rewards feedback
how do i proceed with service inquiry,service_inquiry,neutral,service_inquiry,neutral,Seeking information about a service
i absolutely love how delivery status works for me,delivery_status,positive,express_satisfaction,positive,Customer is very pleased with delivery status
using warranty inquiry was a frustrating experience,warranty_inquiry,negative,warranty_inquiry,negative,The user had a frustrating experience while inquiring about their warranty.
is there a manual or guide for technical complaint,technical_complaint,neutral,technical_support,neutral,Request for technical support or guidance
health complaint was a complete disaster and waste of time,health_complaint,negative,health_complaint,negative,Unsatisfactory healthcare experience
i need more information regarding financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,Request for information
shipping inquiry constantly lets me down,shipping_inquiry,negative,shipping_inquiry,negative,Shipping issues have been a consistent problem
i couldnt be happier with food review,food_review,positive,entertainment_review,positive,Expressing satisfaction with a food review
im extremely disappointed with delivery status,delivery_status,negative,delivery_status,negative,Customer expresses disappointment with delivery status
i absolutely love how schedule inquiry works for me,schedule_inquiry,positive,express_appreciation,positive,Expressing gratitude for schedule inquiry service
using policy feedback was a frustrating experience,policy_feedback,negative,policy_feedback,negative,Dislike with policy feedback experience
whats the process for service feedback,service_feedback,neutral,service_feedback,neutral,Requesting information about service feedback process
im extremely disappointed with service complaint,service_complaint,negative,service_complaint,negative,The customer is unhappy with a service they received.
can you provide details about policy complaint,policy_complaint,neutral,policy_inquiry,neutral,Request for information about policy complaint process
entertainment review exceeded all of my expectations,entertainment_review,positive,entertainment_review,positive,Review of entertainment experience exceeded expectations
policy complaint has so many issues i regret using it,policy_complaint,negative,complaint,negative,Regretful experience due to numerous issues with a policy
i need more information regarding shipping inquiry,shipping_inquiry,neutral,shipping_inquiry,neutral,Request for more information about shipping inquiry
whats the process for technical feedback,technical_feedback,neutral,technical_feedback,neutral,Customer inquiry about providing technical feedback
travel complaint is simply amazing and very reliable,travel_complaint,positive,travel_complaint,positive,"The travel service has exceeded expectations, being both reliable and impressive."
policy complaint did not work as advertised,policy_complaint,negative,complaint,negative,Policy did not meet expectations
can you provide details about accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Request for information about accommodation complaints
what does order inquiry involve,order_inquiry,neutral,order_inquiry,neutral,Customer wants to know what an order inquiry entails
service review constantly lets me down,service_review,negative,service_complaint,negative,Bad experience with service
im extremely disappointed with account inquiry,account_inquiry,negative,account_inquiry,negative,Customer is unhappy with their account inquiry experience
customer experience has made my life much easier and better,customer_experience,positive,express_satisfaction,positive,Customer is very happy with their experience
i need more information regarding product complaint,product_complaint,neutral,product_complaint,neutral,Request for information about a product issue
job inquiry exceeded all of my expectations,job_inquiry,positive,job_inquiry,positive,Job inquiry with a positive experience
technical complaint exceeded all of my expectations,technical_complaint,positive,technical_complaint,positive,Customer expresses satisfaction with their technical complaint experience
payment inquiry caused a lot of problems for me,payment_inquiry,negative,financial_inquiry,negative,Payment inquiry caused issues
procedural inquiry has made my life much easier and better,procedural_inquiry,positive,express_opinion,positive,Expressing satisfaction and gratitude for procedural inquiry
could you explain how order inquiry works,order_inquiry,neutral,order_inquiry,neutral,Request for information about order inquiry process
food review constantly lets me down,food_review,negative,entertainment_review,negative,The food reviewer had a consistently disappointing experience
could you explain how financial inquiry works,financial_inquiry,neutral,financial_inquiry,neutral,Request for explanation of financial inquiry process
really appreciate how efficient product feedback has been,product_feedback,positive,express_gratitude,positive,Appreciation for efficient product feedback
kudos to the team behind facility feedback,facility_feedback,positive,express_appreciation,positive,Expressing gratitude for facility feedback
using travel review was a frustrating experience,travel_review,negative,travel_complaint,negative,Frustrating experience with travel review
how do i proceed with service complaint,service_complaint,neutral,service_complaint,neutral,The user wants to know how to proceed with a service complaint.
kudos to the team behind business inquiry,business_inquiry,positive,express_appreciation,positive,Expressing gratitude to the team for their business inquiry assistance
where can i learn about transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,User inquiry about transportation complaint process or resources
im extremely disappointed with financial inquiry,financial_inquiry,negative,financial_inquiry,negative,The user expresses disappointment in their financial inquiry.
i need more information regarding booking complaint,booking_complaint,neutral,booking_complaint,neutral,Request for more information about a booking-related issue
whats the process for entertainment review,entertainment_review,neutral,entertainment_review,neutral,Requesting information about the process for reviewing entertainment
i need more information regarding process complaint,process_complaint,neutral,procedural_inquiry,neutral,Request for more information about process complaints
what does health complaint involve,health_complaint,neutral,health_inquiry,neutral,User wants to know what health complaint involves
service review did not work as advertised,service_review,negative,service_complaint,negative,Service did not meet expectations
i would not recommend shipping inquiry to anyone,shipping_inquiry,negative,shipping_inquiry,negative,Negative feedback about shipping experience
travel complaint was a complete disaster and waste of time,travel_complaint,negative,travel_complaint,negative,Travel experience was disappointing and frustrating
delivery status has been a fantastic experience overall,delivery_status,positive,express_satisfaction,positive,Expressing overall satisfaction with delivery status
i absolutely love how policy complaint works for me,policy_complaint,positive,express_praise,positive,Expressing admiration and approval for the policy complaint process
i couldnt be happier with process complaint,process_complaint,positive,express_satisfaction,positive,Customer is very satisfied with the process
kudos to the team behind booking complaint,booking_complaint,positive,express_praise,positive,Expressing gratitude and appreciation for the team behind a booking
the quality of healthcare feedback is outstanding,healthcare_feedback,positive,healthcare_feedback,positive,Patient satisfaction with healthcare services
customer experience exceeded all of my expectations,customer_experience,positive,express_satisfaction,positive,Customer experience exceeded all expectations
im extremely disappointed with service review,service_review,negative,service_complaint,negative,Customer unhappy with service
how do i proceed with schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for scheduling information
community feedback failed to meet even the basic expectations,community_feedback,negative,community_feedback,negative,Community feedback was unsatisfactory
travel complaint failed to meet even the basic expectations,travel_complaint,negative,travel_complaint,negative,Failed to meet basic expectations
using healthcare feedback was a frustrating experience,healthcare_feedback,negative,healthcare_feedback,negative,The user had a poor experience using healthcare feedback
service feedback constantly lets me down,service_feedback,negative,service_feedback,negative,Disappointment with service
where can i learn about job inquiry,job_inquiry,neutral,job_inquiry,neutral,Job inquiry query
community feedback is simply amazing and very reliable,community_feedback,positive,express_opinion,positive,General praise for community feedback
job inquiry was a complete disaster and waste of time,job_inquiry,negative,job_inquiry,negative,The job inquiry process was unsuccessful and frustrating.
business inquiry caused a lot of problems for me,business_inquiry,negative,business_inquiry,negative,The user has encountered issues related to a business inquiry.
booking complaint caused a lot of problems for me,booking_complaint,negative,booking_complaint,negative,Booking issue caused inconvenience
transportation complaint caused a lot of problems for me,transportation_complaint,negative,transportation_complaint,negative,Transportation issue caused problems for you
really appreciate how efficient billing complaint has been,billing_complaint,positive,express_appreciation,positive,The user expresses gratitude for efficient billing
id like to understand more about process complaint,process_complaint,neutral,procedural_inquiry,neutral,The user wants to know more about process complaints
where can i learn about environment complaint,environment_complaint,neutral,environment_complaint,neutral,User inquiry about learning about environment complaints
environment complaint did not work as advertised,environment_complaint,negative,environment_complaint,negative,The environment did not meet expectations
who can i contact about policy feedback,policy_feedback,neutral,policy_feedback,neutral,Requesting contact information for policy feedback
i couldnt be happier with payment inquiry,payment_inquiry,positive,payment_inquiry,positive,Customer is satisfied with payment inquiry
im extremely disappointed with policy inquiry,policy_inquiry,negative,policy_inquiry,negative,Customer expresses disappointment during a policy inquiry
service inquiry is simply amazing and very reliable,service_inquiry,positive,service_inquiry,positive,Complimentary comment about service reliability
complaint has made my life much easier and better,complaint,positive,express_satisfaction,positive,User expresses gratitude for improving their life
id like to understand more about technical complaint,technical_complaint,neutral,technical_complaint,neutral,Request for information about technical issues
the quality of technical feedback is outstanding,technical_feedback,positive,technical_feedback,positive,Praises technical feedback quality
what does process complaint involve,process_complaint,neutral,procedural_inquiry,neutral,Inquiring about process-related issues
i absolutely love how entertainment review works for me,entertainment_review,positive,express_praise,positive,Expressing enthusiasm and appreciation for entertainment review
whats the process for product inquiry,product_inquiry,neutral,product_inquiry,neutral,Request for information about a product
billing complaint is simply amazing and very reliable,billing_complaint,positive,complaint,positive,The customer is satisfied with their billing experience.
entertainment review has made my life much easier and better,entertainment_review,positive,entertainment_review,positive,The user has enjoyed their entertainment experience and found it to be a positive influence on their life.
schedule inquiry has made my life much easier and better,schedule_inquiry,positive,schedule_inquiry,positive,User is expressing gratitude for scheduling inquiry being helpful
could you explain how delivery status works,delivery_status,neutral,delivery_status,neutral,Inquiry about delivery status process
really appreciate how efficient health complaint has been,health_complaint,positive,express_appreciation,positive,Expressing gratitude for efficient health complaint process
procedural inquiry has so many issues i regret using it,procedural_inquiry,negative,procedural_inquiry,negative,User regrets using a procedural inquiry due to numerous issues
really appreciate how efficient accommodation complaint has been,accommodation_complaint,positive,express_appreciation,positive,Expressing gratitude for efficient accommodation complaint process
is there a manual or guide for schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for guidance or documentation on scheduling
travel review did not work as advertised,travel_review,negative,travel_review,negative,The travel review was not as expected.
technical complaint failed to meet even the basic expectations,technical_complaint,negative,technical_complaint,negative,"Failed to meet basic expectations, disappointed experience"
where can i learn about service review,service_review,neutral,service_inquiry,neutral,Learning about service reviews
whats the process for food review,food_review,neutral,product_inquiry,neutral,Requesting information about the process of submitting a review for food
im very satisfied with the results of rewards feedback,rewards_feedback,positive,express_satisfaction,positive,Reward feedback was satisfactory
im very satisfied with the results of health inquiry,health_inquiry,positive,health_inquiry,positive,Customer expresses satisfaction with health inquiry results
really appreciate how efficient order inquiry has been,order_inquiry,positive,express_appreciation,positive,Appreciation for efficient order inquiry process
is there a manual or guide for travel review,travel_review,neutral,information_request,neutral,Requesting information on a travel-related resource
how do i proceed with community feedback,community_feedback,neutral,community_feedback,neutral,Requesting instructions on providing feedback to the community
is there a manual or guide for process complaint,process_complaint,neutral,process_complaint,neutral,Request for guidance on process complaint
accommodation complaint did not work as advertised,accommodation_complaint,negative,accommodation_complaint,negative,Disappointment with accommodation due to non-compliance with advertised services
i couldnt be happier with event review,event_review,positive,event_review,positive,express_satisfaction with an event
how do i proceed with shipping inquiry,shipping_inquiry,neutral,shipping_inquiry,neutral,Inquiring about shipping process or status
educational feedback did not work as advertised,educational_feedback,negative,educational_feedback,negative,Disappointment with educational feedback
shipping inquiry caused a lot of problems for me,shipping_inquiry,negative,shipping_inquiry,negative,The customer had issues with their shipping and wants help resolving the problem.
health inquiry has so many issues i regret using it,health_inquiry,negative,health_inquiry,negative,Regretful experience with health inquiry
policy inquiry has so many issues i regret using it,policy_inquiry,negative,policy_inquiry,negative,User has had a bad experience with the policy and regrets using it
whats the process for educational feedback,educational_feedback,neutral,educational_feedback,neutral,Inquiring about providing feedback on educational experiences
financial complaint failed to meet even the basic expectations,financial_complaint,negative,financial_complaint,negative,Failed to meet basic expectations
really appreciate how efficient procedural inquiry has been,procedural_inquiry,positive,express_appreciation,positive,Express gratitude for efficient service
i need more information regarding technical support,technical_support,neutral,technical_support,neutral,Request for technical support information
is there a manual or guide for food review,food_review,neutral,product_inquiry,neutral,Inquiring about a resource or guide for food review
is there a manual or guide for health complaint,health_complaint,neutral,health_inquiry,neutral,Requesting information on a guide or manual for health complaints
whats the process for policy complaint,policy_complaint,neutral,policy_inquiry,neutral,Requesting information about filing a policy complaint
i need more information regarding payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Request for more information about payment
my experience with policy feedback was terrible,policy_feedback,negative,policy_feedback,negative,Disappointing experience with policy feedback
using service inquiry was a frustrating experience,service_inquiry,negative,service_inquiry,negative,Frustrating experience with service inquiry
im extremely disappointed with travel complaint,travel_complaint,negative,travel_complaint,negative,The user is extremely disappointed with their travel experience.
community feedback constantly lets me down,community_feedback,negative,community_feedback,negative,Disappointed with community feedback
business inquiry exceeded all of my expectations,business_inquiry,positive,business_inquiry,positive,Positive business inquiry exceeding expectations
the quality of product feedback is outstanding,product_feedback,positive,product_feedback,positive,The customer is very satisfied with the quality of product feedback
where can i learn about billing complaint,billing_complaint,neutral,financial_inquiry,neutral,Request for information on learning about billing complaints
id like to understand more about environment complaint,environment_complaint,neutral,environment_complaint,neutral,Request for information about environmental complaints
i need more information regarding order inquiry,order_inquiry,neutral,order_inquiry,neutral,Request for information about orders
policy complaint has been a fantastic experience overall,policy_complaint,positive,express_satisfaction,positive,Policy complaint has been a pleasant experience overall
event review constantly lets me down,event_review,negative,event_review,negative,"The event has not met expectations, leaving the user disappointed."
using complaint was a frustrating experience,complaint,negative,complaint,negative,Customer had a frustrating experience with using something
id like to understand more about appointment management,appointment_management,neutral,appointment_management,neutral,Request for information on scheduling and managing appointments
entertainment review was a complete disaster and waste of time,entertainment_review,negative,entertainment_review,negative,"The reviewer had a very negative experience with the entertainment review, considering it a waste of time."
im very satisfied with the results of service complaint,service_complaint,positive,service_complaint,positive,Satisfied with service complaint results
using technical complaint was a frustrating experience,technical_complaint,negative,technical_complaint,negative,The user had a frustrating experience with technical support
im extremely disappointed with travel review,travel_review,negative,travel_review,negative,The user is extremely disappointed with their travel experience.
could you explain how billing complaint works,billing_complaint,neutral,billing_complaint,neutral,User wants to understand how to file a billing complaint
i absolutely love how service complaint works for me,service_complaint,positive,express_appreciation,positive,Expressing satisfaction with a service complaint process
i couldnt be happier with booking complaint,booking_complaint,positive,booking_complaint,positive,Expressing satisfaction with booking experience
event review failed to meet even the basic expectations,event_review,negative,event_review,negative,Event did not meet basic expectations
is there a manual or guide for appointment management,appointment_management,neutral,appointment_management,neutral,Requesting guidance on scheduling appointments
how do i proceed with warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Request for warranty inquiry
travel complaint caused a lot of problems for me,travel_complaint,negative,travel_complaint,negative,The user has experienced problems while traveling
travel review has been a fantastic experience overall,travel_review,positive,service_review,positive,travel review
travel review has so many issues i regret using it,travel_review,negative,travel_review,negative,Regrets and complaints about travel experience
can you provide details about delivery status,delivery_status,neutral,delivery_status,neutral,Request for information about delivery status
can you provide details about process complaint,process_complaint,neutral,procedural_inquiry,neutral,Request for information about process complaint
environment complaint failed to meet even the basic expectations,environment_complaint,negative,environment_complaint,negative,Unmet environmental expectations
really appreciate how efficient account inquiry has been,account_inquiry,positive,express_appreciation,positive,Express gratitude for efficient account inquiry
where can i learn about appointment management,appointment_management,neutral,appointment_management,neutral,Inquiry about learning resources for appointment management
i need more information regarding service inquiry,service_inquiry,neutral,service_inquiry,neutral,Request for information about a service
financial complaint was a complete disaster and waste of time,financial_complaint,negative,financial_complaint,negative,Financial complaint was a disaster and waste of time
what does warranty inquiry involve,warranty_inquiry,neutral,warranty_inquiry,neutral,Request for information about warranty process
im extremely disappointed with order inquiry,order_inquiry,negative,order_inquiry,negative,Customer is upset about their order
the quality of warranty inquiry is outstanding,warranty_inquiry,positive,warranty_inquiry,positive,Warranty inquiry experience was excellent
who can i contact about environment complaint,environment_complaint,neutral,environment_complaint,neutral,Customer wants to report an environmental issue and find out who they can contact about it.
kudos to the team behind service feedback,service_feedback,positive,express_appreciation,positive,Praise for service feedback team
where can i learn about accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Requesting information about filing an accommodation complaint
the quality of shipping inquiry is outstanding,shipping_inquiry,positive,shipping_inquiry,positive,The customer is pleased with the shipping inquiry process.
really appreciate how efficient process complaint has been,process_complaint,positive,express_appreciation,positive,Appreciative of efficient process
who can i contact about appointment management,appointment_management,neutral,appointment_management,neutral,Contacting for appointment scheduling or management
technical support constantly lets me down,technical_support,negative,technical_complaint,negative,Technical support is not meeting expectations
procedural inquiry did not work as advertised,procedural_inquiry,negative,process_complaint,negative,The procedural inquiry did not meet expectations.
rewards feedback has so many issues i regret using it,rewards_feedback,negative,express_opinion,negative,User regrets using rewards program due to various issues
financial inquiry is simply amazing and very reliable,financial_inquiry,positive,financial_inquiry,positive,The user has had a positive experience with their financial inquiry and finds it reliable.
process complaint did not work as advertised,process_complaint,negative,process_complaint,negative,The process did not work as expected.
appointment management has been a fantastic experience overall,appointment_management,positive,appointment_management,positive,Appointment management has been satisfactory
facility feedback exceeded all of my expectations,facility_feedback,positive,facility_feedback,positive,Overall satisfaction with facility exceeded expectations
whats the process for environment complaint,environment_complaint,neutral,environment_complaint,neutral,Requesting information about reporting environmental issues
environment complaint caused a lot of problems for me,environment_complaint,negative,environment_complaint,negative,The user has experienced environmental issues that caused significant problems.
my experience with food review was terrible,food_review,negative,food_review,negative,Poor experience with food review
using financial inquiry was a frustrating experience,financial_inquiry,negative,financial_inquiry,negative,The user had a bad experience using financial inquiry
is there a manual or guide for service inquiry,service_inquiry,neutral,service_inquiry,neutral,Requesting information or guidance on a service
complaint caused a lot of problems for me,complaint,negative,complaint,negative,Customer expresses dissatisfaction and frustration
order inquiry has so many issues i regret using it,order_inquiry,negative,order_inquiry,negative,Order inquiry has issues and customer regrets using it
using transportation complaint was a frustrating experience,transportation_complaint,negative,transportation_complaint,negative,The customer had a bad experience with transportation.
technical complaint caused a lot of problems for me,technical_complaint,negative,technical_complaint,negative,Technical issue caused issues
whats the process for account inquiry,account_inquiry,neutral,account_inquiry,neutral,User wants to inquire about their account
what does food review involve,food_review,neutral,product_inquiry,neutral,The user wants to know what food review involves.
policy inquiry did not work as advertised,policy_inquiry,negative,policy_inquiry,negative,Failed expectations with policy
order inquiry failed to meet even the basic expectations,order_inquiry,negative,order_inquiry,negative,Failed to meet expectations
service inquiry exceeded all of my expectations,service_inquiry,positive,service_inquiry,positive,Customer had a positive experience and exceeded their expectations with our service
whats the process for health inquiry,health_inquiry,neutral,health_inquiry,neutral,Inquiring about healthcare process
id like to understand more about health inquiry,health_inquiry,neutral,health_inquiry,neutral,User wants to know more about health inquiries
my experience with financial inquiry was terrible,financial_inquiry,negative,financial_inquiry,negative,Customer had a bad experience with financial inquiry
food review has so many issues i regret using it,food_review,negative,booking_complaint,negative,Unhappy customer experience due to issues with food
is there a manual or guide for product inquiry,product_inquiry,neutral,product_inquiry,neutral,Requesting information or guidance for product inquiry
i couldnt be happier with travel complaint,travel_complaint,positive,travel_complaint,positive,The user is expressing satisfaction with their travel experience
really appreciate how efficient health inquiry has been,health_inquiry,positive,express_appreciation,positive,Express appreciation for efficient healthcare inquiry process
im extremely disappointed with process complaint,process_complaint,negative,process_complaint,negative,The user is unhappy with the process and feels disappointed
product complaint is simply amazing and very reliable,product_complaint,positive,product_complaint,positive,Customer is satisfied with their product experience
id like to understand more about delivery status,delivery_status,neutral,delivery_status,neutral,Request for information on delivery status
technical complaint is simply amazing and very reliable,technical_complaint,positive,technical_complaint,positive,The user is expressing satisfaction with their technical experience.
event review exceeded all of my expectations,event_review,positive,event_review,positive,Event exceeded expectations
procedural inquiry has been a fantastic experience overall,procedural_inquiry,positive,procedural_inquiry,positive,Overall positive experience
service complaint constantly lets me down,service_complaint,negative,service_complaint,negative,The service is not meeting expectations and causing frustration.
im extremely disappointed with food review,food_review,negative,food_review,negative,Customer is extremely dissatisfied with their dining experience
can you provide details about community feedback,community_feedback,neutral,community_feedback,neutral,Request for information about community feedback
delivery status was a complete disaster and waste of time,delivery_status,negative,delivery_status,negative,Disappointment with delivery status
what does job inquiry involve,job_inquiry,neutral,job_inquiry,neutral,A question about job inquiry process or requirements
really appreciate how efficient business inquiry has been,business_inquiry,positive,express_appreciation,positive,Expressing gratitude for efficient business inquiry process
kudos to the team behind technical complaint,technical_complaint,positive,express_appreciation,positive,Acknowledging good work by the technical support team
using appointment management was a frustrating experience,appointment_management,negative,appointment_management,negative,Frustrating experience with appointment management
warranty inquiry is simply amazing and very reliable,warranty_inquiry,positive,warranty_inquiry,positive,"Customer inquiry about warranty, expressing positive experience"
food review caused a lot of problems for me,food_review,negative,entertainment_review,negative,Unpleasant experience with food review
im extremely disappointed with facility feedback,facility_feedback,negative,facility_feedback,negative,Customer unhappy with facility experience
my experience with account inquiry was terrible,account_inquiry,negative,account_inquiry,negative,Poor experience with account inquiry
really appreciate how efficient travel review has been,travel_review,positive,express_appreciation,positive,Expressing gratitude for efficient travel review
health complaint caused a lot of problems for me,health_complaint,negative,health_complaint,negative,The user has experienced health issues causing problems.
community feedback has made my life much easier and better,community_feedback,positive,express_appreciation,positive,Appreciative feedback about community
could you explain how travel review works,travel_review,neutral,entertainment_review,neutral,Request for explanation of travel review process
what does transportation complaint involve,transportation_complaint,neutral,transportation_complaint,neutral,Inquiry about transportation-related issues
what does technical feedback involve,technical_feedback,neutral,technical_feedback,neutral,Request for information about technical feedback process
